                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0691,                 1.6731,                 2.0591,                0.98349,                      1,                  0.995,                  0.574,                 1.7711,                0.93213,                 2.0176,                 0.0001,                 0.0001,                 0.0001
                      2,                 1.7053,                 1.6945,                 1.6408,                0.97942,                      1,                  0.995,                0.54838,                 1.6736,                0.77012,                 1.5462,             0.00021964,             0.00021964,             0.00021964
                      3,                 1.5156,                 1.0742,                 1.2652,                0.94502,                      1,                  0.995,                0.54765,                 2.0123,                0.80806,                 1.4319,             0.00033888,             0.00033888,             0.00033888
                      4,                 1.6686,                 1.3213,                 1.4395,                0.61056,                      1,                0.82833,                0.28639,                 2.4064,                 1.9391,                 1.7448,             0.00045772,             0.00045772,             0.00045772
                      5,                 1.4725,                 1.2925,                 1.3398,                0.44862,                      1,                 0.4975,                0.16166,                 2.4023,                 2.4388,                 2.0285,             0.00057617,             0.00057617,             0.00057617
                      6,                 1.5459,                 1.1333,                 1.4134,                0.45642,                      1,                 0.4975,                0.17446,                 2.1205,                 2.5177,                 1.7927,             0.00069422,             0.00069422,             0.00069422
                      7,                 1.4823,                 1.1074,                 1.2495,                0.61739,                      1,                0.82833,                 0.4475,                 1.7621,                 1.7033,                 1.4719,             0.00081188,             0.00081188,             0.00081188
                      8,                 1.6129,                 1.1206,                 1.2591,                0.61739,                      1,                0.82833,                 0.4475,                 1.7621,                 1.7033,                 1.4719,             0.00092914,             0.00092914,             0.00092914
                      9,                 1.4673,                 1.0397,                 1.2189,                0.62892,                      1,                0.82833,                0.44768,                 1.4973,                 1.2493,                 1.2388,               0.001046,               0.001046,               0.001046
                     10,                 1.5698,                 1.0974,                 1.2201,                0.62875,                      1,                0.82833,                0.51373,                 1.3196,                 1.0572,                 1.1079,              0.0011625,              0.0011625,              0.0011625
                     11,                 1.5138,                 1.1443,                 1.2832,                0.62875,                      1,                0.82833,                0.51373,                 1.3196,                 1.0572,                 1.1079,              0.0012786,              0.0012786,              0.0012786
                     12,                 1.3616,                0.97543,                 1.1521,                0.61936,                      1,                0.82833,                0.57983,                 1.2125,                 1.1447,                 0.9787,              0.0013942,              0.0013942,              0.0013942
                     13,                 1.2925,                 1.1747,                  1.329,                0.61936,                      1,                0.82833,                0.57983,                 1.2125,                 1.1447,                 0.9787,              0.0015095,              0.0015095,              0.0015095
                     14,                 1.2784,                 1.2263,                 1.1617,                0.61936,                      1,                0.82833,                0.57983,                 1.2125,                 1.1447,                 0.9787,              0.0016244,              0.0016244,              0.0016244
                     15,                 1.3548,                 1.0385,                 1.1287,                0.92155,                      1,                  0.995,                  0.796,                 1.3264,                 1.3161,                0.89266,              0.0017389,              0.0017389,              0.0017389
                     16,                 1.4536,                 1.1652,                 1.1591,                0.92155,                      1,                  0.995,                  0.796,                 1.3264,                 1.3161,                0.89266,               0.001853,               0.001853,               0.001853
                     17,                 1.5094,                 1.0676,                  1.218,                0.91439,                      1,                  0.995,                 0.6965,                 1.5638,                 1.1281,                0.94067,              0.0019472,              0.0019472,              0.0019472
                     18,                 1.5992,                 1.1592,                 1.2248,                0.91439,                      1,                  0.995,                 0.6965,                 1.5638,                 1.1281,                0.94067,              0.0019472,              0.0019472,              0.0019472
                     19,                 1.4799,                 1.1762,                 1.1066,                0.91439,                      1,                  0.995,                 0.6965,                 1.5638,                 1.1281,                0.94067,              0.0019439,              0.0019439,              0.0019439
                     20,                  1.354,                 1.0178,                 1.1357,                0.96686,                      1,                  0.995,                0.82096,                 1.1084,                 0.8357,                0.94107,              0.0019406,              0.0019406,              0.0019406
                     21,                 1.4115,                 1.2494,                 1.2528,                0.96686,                      1,                  0.995,                0.82096,                 1.1084,                 0.8357,                0.94107,              0.0019373,              0.0019373,              0.0019373
