                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9287,                 3.5001,                 2.0145,                 2.0078,                0.99339,                      1,                  0.995,                0.50949,                0.99339,                      1,                  0.995,                0.52296,                  1.715,                 3.5164,                 1.2977,                 1.2388,                 0.0001,                 0.0001,                 0.0001
                      2,                  1.877,                 2.9097,                 1.7204,                 2.0842,                0.86262,                    0.5,                  0.695,                0.30859,                0.64702,                      1,                0.82833,                0.39964,                 2.2775,                 2.4938,                 1.6322,                 1.4462,             0.00021964,             0.00021964,             0.00021964
                      3,                 1.8661,                 2.2182,                 1.5093,                 1.8251,                0.70777,                    0.5,                0.53204,                0.21464,                0.95251,                      1,                  0.995,                0.36019,                   2.78,                 1.8203,                 2.4539,                 1.6516,             0.00033888,             0.00033888,             0.00033888
                      4,                 1.9314,                  2.367,                  1.531,                 2.0053,                0.85301,                    0.5,                0.66167,                0.29779,                      1,                0.88878,                  0.995,                0.46416,                 2.1896,                 1.4074,                 2.5023,                 1.6329,             0.00045772,             0.00045772,             0.00045772
                      5,                 1.9512,                  2.362,                 1.4971,                 1.8553,                      1,                 0.9633,                  0.995,                 0.4975,                      1,                 0.9633,                  0.995,                0.62461,                 1.9737,                 1.1838,                 1.6391,                 1.7746,             0.00057617,             0.00057617,             0.00057617
                      6,                 1.8848,                  2.047,                 1.3972,                  1.757,                0.95707,                      1,                  0.995,                0.52241,                0.95707,                      1,                  0.995,                0.62405,                 2.1606,                0.95963,                 1.6744,                 2.1204,             0.00069422,             0.00069422,             0.00069422
                      7,                 1.7163,                 2.0254,                  1.241,                 1.7246,                 0.9128,                      1,                  0.995,                0.42295,                 0.9128,                      1,                  0.995,                0.59819,                 2.4006,                 1.0335,                 2.1647,                  2.236,             0.00081188,             0.00081188,             0.00081188
                      8,                 1.8518,                 1.9004,                 1.2938,                 1.7589,                 0.9128,                      1,                  0.995,                0.42295,                 0.9128,                      1,                  0.995,                0.59819,                 2.4006,                 1.0335,                 2.1647,                  2.236,             0.00092914,             0.00092914,             0.00092914
                      9,                 1.7912,                 1.8659,                 1.2097,                 1.7815,                0.85437,                      1,                  0.995,                0.44793,                0.85437,                      1,                  0.995,                  0.597,                 2.3605,                 1.2667,                 2.4059,                  1.978,               0.001046,               0.001046,               0.001046
                     10,                 1.7895,                 2.1554,                 1.2589,                 1.8076,                0.63999,                      1,                  0.995,                0.54725,                0.63999,                      1,                  0.995,                0.54725,                 1.8836,                  1.389,                 3.0618,                 1.6624,              0.0011625,              0.0011625,              0.0011625
                     11,                 1.8945,                 2.3918,                 1.3528,                 1.7168,                0.63999,                      1,                  0.995,                0.54725,                0.63999,                      1,                  0.995,                0.54725,                 1.8836,                  1.389,                 3.0618,                 1.6624,              0.0012786,              0.0012786,              0.0012786
                     12,                 1.5461,                 2.0761,                 1.1615,                 1.6488,                0.58384,                      1,                0.82833,                0.28391,                0.58384,                      1,                0.82833,                0.39658,                 1.5656,                 1.2275,                 3.6691,                 1.7064,              0.0013942,              0.0013942,              0.0013942
                     13,                 1.8088,                  1.754,                 1.5703,                 1.8144,                0.58384,                      1,                0.82833,                0.28391,                0.58384,                      1,                0.82833,                0.39658,                 1.5656,                 1.2275,                 3.6691,                 1.7064,              0.0015095,              0.0015095,              0.0015095
                     14,                  1.856,                 2.2503,                 1.4635,                 1.7931,                0.58384,                      1,                0.82833,                0.28391,                0.58384,                      1,                0.82833,                0.39658,                 1.5656,                 1.2275,                 3.6691,                 1.7064,              0.0016244,              0.0016244,              0.0016244
                     15,                  1.508,                  1.789,                 1.3807,                  1.647,                0.58191,                      1,                0.66333,                 0.3582,                0.58191,                      1,                0.82833,                0.45413,                 1.6038,                 1.0915,                 2.3414,                  1.293,              0.0017389,              0.0017389,              0.0017389
                     16,                 1.6619,                 1.9539,                 1.2907,                 1.7854,                0.58191,                      1,                0.66333,                 0.3582,                0.58191,                      1,                0.82833,                0.45413,                 1.6038,                 1.0915,                 2.3414,                  1.293,               0.001853,               0.001853,               0.001853
                     17,                 1.6441,                 1.8903,                 1.2011,                 1.6797,                0.95772,                      1,                  0.995,                0.34868,                0.95772,                      1,                  0.995,                0.60023,                 2.3074,                 1.0921,                 1.4035,                 1.1679,              0.0019472,              0.0019472,              0.0019472
                     18,                 1.8459,                 2.0549,                  1.366,                 1.7854,                0.95772,                      1,                  0.995,                0.34868,                0.95772,                      1,                  0.995,                0.60023,                 2.3074,                 1.0921,                 1.4035,                 1.1679,              0.0019472,              0.0019472,              0.0019472
                     19,                 1.7615,                 1.9903,                 1.1223,                 1.7788,                0.95772,                      1,                  0.995,                0.34868,                0.95772,                      1,                  0.995,                0.60023,                 2.3074,                 1.0921,                 1.4035,                 1.1679,              0.0019439,              0.0019439,              0.0019439
                     20,                  1.853,                 1.9814,                 1.2242,                 1.8619,                0.94999,                      1,                  0.995,                0.29537,                0.94999,                      1,                  0.995,                0.54735,                 2.2835,                 1.3063,                  1.369,                 1.2977,              0.0019406,              0.0019406,              0.0019406
                     21,                 1.9049,                  1.965,                 1.2423,                  1.921,                0.94999,                      1,                  0.995,                0.29537,                0.94999,                      1,                  0.995,                0.54735,                 2.2835,                 1.3063,                  1.369,                 1.2977,              0.0019373,              0.0019373,              0.0019373
                     22,                 1.8006,                 1.8849,                 1.2188,                 1.6825,                0.94999,                      1,                  0.995,                0.29537,                0.94999,                      1,                  0.995,                0.54735,                 2.2835,                 1.3063,                  1.369,                 1.2977,               0.001934,               0.001934,               0.001934
                     23,                 1.6687,                 1.7593,                 1.2181,                 1.8807,                0.94676,                      1,                  0.995,                0.28869,                0.94676,                      1,                  0.995,                 0.4672,                 2.2656,                 1.2075,                 1.7734,                  1.735,              0.0019307,              0.0019307,              0.0019307
                     24,                 1.8412,                 1.6427,                  1.161,                 1.8868,                0.94676,                      1,                  0.995,                0.28869,                0.94676,                      1,                  0.995,                 0.4672,                 2.2656,                 1.2075,                 1.7734,                  1.735,              0.0019274,              0.0019274,              0.0019274
                     25,                 1.7007,                 1.5918,                 1.0578,                 1.8357,                0.48124,                0.94373,                 0.4975,                0.26195,                0.93718,                      1,                  0.995,                0.41871,                 1.5964,                 1.0038,                 2.6308,                 1.7421,              0.0019241,              0.0019241,              0.0019241
                     26,                 1.9158,                  2.065,                 1.2966,                 1.9524,                0.48124,                0.94373,                 0.4975,                0.26195,                0.93718,                      1,                  0.995,                0.41871,                 1.5964,                 1.0038,                 2.6308,                 1.7421,              0.0019208,              0.0019208,              0.0019208
                     27,                 1.9568,                 1.7339,                 1.2285,                  1.937,                0.48124,                0.94373,                 0.4975,                0.26195,                0.93718,                      1,                  0.995,                0.41871,                 1.5964,                 1.0038,                 2.6308,                 1.7421,              0.0019175,              0.0019175,              0.0019175
                     28,                 1.5956,                 1.5988,                 1.0702,                 1.6641,                      1,                0.91969,                  0.995,                0.39275,                      1,                0.91969,                  0.995,                0.54142,                 1.9283,                0.96658,                 1.6608,                 1.7117,              0.0019142,              0.0019142,              0.0019142
                     29,                 1.7633,                   1.45,                 1.1623,                 1.7529,                      1,                0.91969,                  0.995,                0.39275,                      1,                0.91969,                  0.995,                0.54142,                 1.9283,                0.96658,                 1.6608,                 1.7117,              0.0019109,              0.0019109,              0.0019109
                     30,                 1.7816,                 1.6035,                 1.2404,                 1.8938,                      1,                0.91969,                  0.995,                0.39275,                      1,                0.91969,                  0.995,                0.54142,                 1.9283,                0.96658,                 1.6608,                 1.7117,              0.0019076,              0.0019076,              0.0019076
                     31,                 1.7242,                 1.5943,                 1.2373,                 1.8211,                0.93759,                      1,                  0.995,                 0.5494,                0.93759,                      1,                  0.995,                0.75575,                 2.0908,                0.96494,                 1.6062,                 1.6411,              0.0019043,              0.0019043,              0.0019043
                     32,                 1.6417,                 1.5439,                 1.2709,                 1.7899,                0.93759,                      1,                  0.995,                 0.5494,                0.93759,                      1,                  0.995,                0.75575,                 2.0908,                0.96494,                 1.6062,                 1.6411,               0.001901,               0.001901,               0.001901
                     33,                 1.6953,                 1.7709,                 1.3734,                 1.8001,                0.62946,                      1,                  0.995,                0.59945,                0.62946,                      1,                  0.995,                  0.696,                 1.6531,                0.97718,                 2.4088,                 1.5172,              0.0018977,              0.0018977,              0.0018977
