                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7756,                 3.2643,                 1.8953,                0.00333,                      1,                0.84904,                0.42284,                 1.4119,                 4.0605,                 2.1448,                0.00028,                0.00028,                0.00028
                      2,                 1.1131,                 2.3972,                 1.4389,                0.00333,                      1,                0.84417,                0.33661,                 1.4938,                 3.8969,                 2.1429,             0.00057904,             0.00057904,             0.00057904
                      3,                 1.0558,                 1.9685,                 1.3265,                0.77873,                0.62212,                0.83003,                0.39225,                 1.3786,                    3.9,                 1.8621,              0.0008771,              0.0008771,              0.0008771
                      4,                0.98929,                 1.7452,                 1.2287,                0.07668,                0.70588,                0.09154,                0.01342,                 3.5717,                 5.4213,                 4.3197,              0.0011742,              0.0011742,              0.0011742
                      5,                 1.1568,                 2.1355,                 1.4137,                 0.3637,                0.64706,                 0.5084,                0.30003,                 1.2694,                 4.2063,                 1.9469,              0.0014702,              0.0014702,              0.0014702
                      6,                 1.1252,                 2.1255,                 1.3562,                0.79107,                0.94118,                0.94996,                 0.5609,                 1.3021,                 4.4216,                 2.0409,              0.0017653,              0.0017653,              0.0017653
                      7,                 1.0237,                 1.6482,                 1.2099,                0.28479,                0.82353,                0.28665,                0.09036,                 2.1766,                 8.2836,                 3.1821,              0.0019802,              0.0019802,              0.0019802
                      8,                  1.168,                 1.8184,                 1.3083,                0.56398,                0.47059,                0.52052,                0.20679,                  2.069,                 4.7615,                 2.8627,              0.0019802,              0.0019802,              0.0019802
                      9,                 1.2432,                 1.6596,                 1.2697,                0.54876,                0.88235,                0.70126,                0.36366,                 1.2076,                 7.9211,                 2.3876,              0.0019769,              0.0019769,              0.0019769
                     10,                 1.0931,                 1.6471,                 1.2403,                0.74193,                0.94118,                0.83408,                0.37046,                 1.9928,                 5.4247,                 2.4724,              0.0019736,              0.0019736,              0.0019736
                     11,                 1.4466,                 2.0284,                 1.4727,                0.74193,                0.94118,                0.83408,                0.37046,                 1.9928,                 5.4247,                 2.4724,              0.0019703,              0.0019703,              0.0019703
                     12,                 1.2259,                 1.8022,                 1.3361,                0.93923,                0.90996,                0.95956,                0.62517,                 1.2638,                 4.9955,                 2.1496,               0.001967,               0.001967,               0.001967
                     13,                 1.3404,                 1.7542,                 1.4084,                0.45722,                0.82353,                0.50427,                0.26463,                 1.2848,                 7.7781,                   1.99,              0.0019637,              0.0019637,              0.0019637
                     14,                 1.3504,                 1.8859,                 1.4347,                0.66592,                 0.8209,                0.71982,                0.21076,                 1.5691,                 8.3549,                 2.6038,              0.0019604,              0.0019604,              0.0019604
                     15,                 1.3128,                  1.925,                 1.4274,                0.74286,                0.64706,                0.84862,                0.43735,                   1.51,                 5.7168,                 2.4074,              0.0019571,              0.0019571,              0.0019571
                     16,                 1.1843,                 1.8723,                 1.3937,                0.85429,                0.69061,                0.79207,                0.43492,                 1.1758,                 3.8798,                 2.1609,              0.0019538,              0.0019538,              0.0019538
                     17,                 1.2018,                 1.8042,                  1.318,                0.84408,                0.63754,                0.72278,                0.34928,                 1.7609,                 4.4378,                 2.4718,              0.0019505,              0.0019505,              0.0019505
                     18,                 1.1519,                 1.6939,                 1.3196,                0.21078,                0.47059,                0.27207,                0.14694,                 1.5599,                 5.7751,                 2.0335,              0.0019472,              0.0019472,              0.0019472
