                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3958,                 14.217,                  4.926,                 4.4765,                 0.0002,                0.05882,                0.00018,                  2e-05,                      0,                      0,                      0,                      0,                  5.384,                 5.2247,                 6.9192,                 4.1619,                0.00028,                0.00028,                0.00028
                      2,                  4.265,                 9.3919,                 4.9961,                 4.3304,                 0.0002,                0.05882,                0.00013,                  1e-05,                      0,                      0,                      0,                      0,                 5.4163,                 5.2274,                 6.9324,                 4.1929,             0.00057904,             0.00057904,             0.00057904
                      3,                 3.8894,                 7.1851,                 4.3849,                  4.125,                 0.0002,                0.05882,                0.00013,                  1e-05,                      0,                      0,                      0,                      0,                 5.4984,                 5.2294,                  6.982,                 4.2741,              0.0008771,              0.0008771,              0.0008771
                      4,                 3.6291,                 6.0551,                 4.2131,                 4.0112,                 0.0002,                0.05882,                0.00013,                  1e-05,                      0,                      0,                      0,                      0,                 5.6198,                 5.2339,                 6.8486,                 4.4285,              0.0011742,              0.0011742,              0.0011742
                      5,                 3.5343,                  4.877,                 4.1204,                 3.7927,                 0.0002,                0.05882,                0.00013,                  1e-05,                      0,                      0,                      0,                      0,                 5.6373,                 5.2367,                 6.5587,                 4.4826,              0.0014702,              0.0014702,              0.0014702
                      6,                 3.3885,                 4.9495,                 3.8195,                 3.6488,                 0.0002,                0.05882,                0.00013,                  1e-05,                      0,                      0,                      0,                      0,                 5.5469,                 5.2124,                 6.2025,                 4.3247,              0.0017653,              0.0017653,              0.0017653
                      7,                 3.5068,                 4.5716,                 3.9759,                 3.4899,                 0.0002,                0.05882,                0.00013,                  1e-05,                      0,                      0,                      0,                      0,                 5.4596,                   5.18,                 5.6482,                 4.2686,              0.0019802,              0.0019802,              0.0019802
                      8,                 3.1085,                 4.4375,                 3.9567,                 3.5911,                0.00039,                0.11765,                0.00946,                0.00187,                      0,                      0,                      0,                      0,                 5.1471,                 5.1643,                 5.0271,                 3.9761,              0.0019802,              0.0019802,              0.0019802
                      9,                 3.2548,                 4.3051,                 3.7692,                 3.4533,                0.27875,                0.88235,                0.52215,                0.13094,                0.06981,                0.64706,                0.04587,                0.00592,                 2.7601,                 5.0879,                 11.109,                 4.0721,              0.0019769,              0.0019769,              0.0019769
                     10,                 3.0062,                 4.0305,                 3.5711,                 3.4361,                0.33164,                0.58824,                0.33491,                0.08457,                0.58209,                0.41176,                0.43809,                0.06437,                 2.9189,                 5.1583,                 5.0324,                 3.2471,              0.0019736,              0.0019736,              0.0019736
                     11,                 3.0785,                 4.0161,                 3.5794,                 3.3969,                0.33164,                0.58824,                0.33491,                0.08457,                0.58209,                0.41176,                0.43809,                0.06437,                 2.9189,                 5.1583,                 5.0324,                 3.2471,              0.0019703,              0.0019703,              0.0019703
                     12,                 3.0785,                  3.999,                 3.4783,                 3.2612,                0.42887,                0.52941,                0.41966,                0.12019,                0.37058,                0.47059,                0.34444,                0.05763,                 2.8674,                 10.525,                 12.087,                   3.87,               0.001967,               0.001967,               0.001967
                     13,                 2.9374,                 3.8643,                 3.3791,                 3.2939,                0.16598,                0.88235,                 0.2854,                0.09783,                0.16598,                0.88235,                0.36067,                0.07822,                 2.2815,                 40.888,                 26.001,                 6.2069,              0.0019637,              0.0019637,              0.0019637
                     14,                 2.9258,                 3.8446,                 3.2792,                  3.221,                0.38162,                0.82353,                0.59438,                0.23879,                0.32512,                0.70588,                0.47077,                0.07292,                 2.2744,                 29.086,                 6.1574,                 5.4927,              0.0019604,              0.0019604,              0.0019604
                     15,                 2.8459,                 3.5824,                 3.3979,                 3.1611,                 0.5089,                0.76471,                0.63855,                0.23108,                0.41765,                0.64706,                0.44773,                0.06118,                 2.3734,                 5.1753,                 4.5963,                   3.96,              0.0019571,              0.0019571,              0.0019571
                     16,                  2.803,                 3.6876,                 3.2507,                 3.1843,                0.47464,                0.76471,                0.66807,                0.20769,                0.43678,                0.70588,                 0.5514,                0.08073,                 2.5011,                 4.4868,                 5.6699,                  3.341,              0.0019538,              0.0019538,              0.0019538
                     17,                 2.7953,                 3.5073,                 3.3101,                 3.1756,                0.56588,                0.70588,                0.68545,                0.18671,                0.57971,                0.76471,                0.73497,                0.17627,                 2.4888,                 4.2491,                  4.317,                 2.8222,              0.0019505,              0.0019505,              0.0019505
                     18,                 2.7263,                 3.3548,                 3.0375,                 3.0334,                0.59653,                0.58824,                0.64381,                0.15271,                0.65236,                0.76471,                0.75942,                 0.2296,                 2.4501,                 9.7569,                 5.7479,                  2.807,              0.0019472,              0.0019472,              0.0019472
                     19,                 2.6638,                 3.0229,                 3.1406,                 3.0039,                 0.0592,                0.41176,                 0.0461,                0.01022,                0.09303,                0.64706,                0.09157,                0.02229,                 2.3083,                 15.077,                 7.9346,                 2.8744,              0.0019439,              0.0019439,              0.0019439
                     20,                 2.6618,                 2.8565,                 3.1094,                 3.0857,                0.01847,                0.64706,                0.02046,                0.00513,                0.10057,                0.35294,                 0.0863,                0.01452,                 2.5016,                 9.3452,                 7.9392,                 2.9146,              0.0019406,              0.0019406,              0.0019406
                     21,                 2.5324,                 2.9638,                 2.9735,                 3.1026,                0.26157,                0.45873,                0.27988,                  0.056,                 0.5447,                0.49352,                0.44056,                0.13002,                  2.638,                 4.4563,                 4.1646,                 3.0113,              0.0019373,              0.0019373,              0.0019373
                     22,                  2.588,                 2.9101,                 3.0101,                 3.0781,                0.47052,                0.64706,                0.46914,                0.10582,                0.55607,                0.76471,                0.67655,                0.24334,                 2.7451,                 3.9888,                 4.1261,                  3.153,               0.001934,               0.001934,               0.001934
                     23,                 2.5982,                 2.7335,                 2.8079,                 2.9925,                0.26604,                0.47059,                0.43678,                0.11267,                 0.4014,                0.71014,                0.67804,                0.23383,                  2.869,                 5.6452,                 11.688,                 3.5509,              0.0019307,              0.0019307,              0.0019307
                     24,                 2.5847,                 2.5494,                 2.8099,                 3.0125,                0.45737,                0.41176,                0.36921,                0.08547,                0.68942,                0.70588,                0.74117,                0.22308,                 3.1299,                 4.7087,                 9.0632,                 3.6625,              0.0019274,              0.0019274,              0.0019274
                     25,                 2.5591,                 2.3838,                 2.7911,                 2.9624,                0.50213,                0.29412,                0.31665,                0.06798,                  0.688,                0.64865,                0.77761,                0.30207,                 3.0798,                 2.0086,                 4.8815,                 3.4185,              0.0019241,              0.0019241,              0.0019241
                     26,                 2.4745,                  2.412,                 2.7185,                 2.8304,                0.34698,                0.52941,                0.42514,                0.09605,                0.50935,                0.55031,                0.54633,                0.26576,                 2.8805,                 2.0909,                 3.9301,                 3.1693,              0.0019208,              0.0019208,              0.0019208
