                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5436,                 4.3375,                 4.3998,                 2.3185,                0.00469,                0.95788,                0.44922,                 0.2138,                0.00489,                      1,                0.59214,                0.30679,                 1.9744,                 3.4221,                 4.4525,                 3.2508,                0.00046,                0.00046,                0.00046
                      2,                 1.3586,                  2.012,                 2.3504,                 1.4326,                0.68343,                0.43352,                0.64858,                0.23161,                0.78615,                0.49178,                0.73871,                0.41325,                 1.7007,                 3.6511,                  3.976,                 2.0225,             0.00093845,             0.00093845,             0.00093845
                      3,                  1.324,                 1.9815,                 2.3236,                 1.3678,                0.36015,                    0.6,                0.52053,                0.17864,                0.42318,                0.66667,                0.53221,                0.21511,                   1.98,                 2.8917,                 5.2197,                 2.6491,              0.0014153,              0.0014153,              0.0014153
                      4,                 1.5051,                 1.7256,                 2.3319,                 1.4102,                0.52562,                0.46667,                0.58739,                0.25132,                0.50792,                0.46667,                0.52082,                0.23001,                 1.6413,                  2.986,                 7.2927,                  2.244,              0.0018906,              0.0018906,              0.0018906
                      5,                 1.3667,                 1.5867,                 2.3265,                 1.3409,                 0.2959,                    0.4,                0.26713,                0.04473,                0.65063,                0.53333,                0.59858,                0.16078,                  2.741,                 2.7365,                 9.7461,                 4.4831,              0.0019868,              0.0019868,              0.0019868
                      6,                 1.5327,                 1.5277,                 2.3243,                 1.5133,                0.78546,                0.86667,                 0.7563,                0.32074,                0.66973,                    0.8,                0.67063,                 0.3447,                 1.5758,                  2.345,                 3.2995,                 2.1003,              0.0019868,              0.0019868,              0.0019868
                      7,                 1.4471,                 1.4485,                 2.1181,                 1.4342,                0.44204,                0.84556,                0.63596,                0.36147,                0.80631,                0.53333,                0.77589,                0.42753,                 1.1597,                 2.2043,                 2.8225,                 1.6927,              0.0019835,              0.0019835,              0.0019835
                      8,                 1.2983,                  1.389,                 1.8484,                 1.3512,                0.78419,                0.72715,                0.74436,                 0.3656,                0.85612,                0.79382,                0.87526,                0.49347,                 1.5387,                 2.4563,                 3.1465,                 2.4899,              0.0019802,              0.0019802,              0.0019802
                      9,                 1.3902,                 1.4195,                 1.9674,                  1.413,                0.46382,                    0.6,                0.43318,                0.10809,                0.46382,                    0.6,                0.44915,                0.15288,                  2.159,                 1.3658,                 3.5974,                 2.2871,              0.0019769,              0.0019769,              0.0019769
                     10,                 1.2627,                 1.3581,                 1.8938,                 1.3247,                0.55529,                0.66667,                0.65958,                0.28001,                0.83999,                0.53333,                0.73796,                0.55299,                  1.606,                 1.4305,                 3.1894,                 2.2637,              0.0019736,              0.0019736,              0.0019736
