                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8952,                 5.1792,                 3.2697,                 2.1116,                0.00866,                0.94118,                0.62957,                0.28057,                0.00453,                0.64706,                0.48379,                0.18402,                  2.565,                 4.0067,                 3.8954,                 2.7795,             0.00038341,             0.00038341,             0.00038341
                      2,                 1.2507,                 2.1756,                 2.1594,                 1.5874,                0.18665,                0.67647,                0.27108,                0.09688,                0.16421,                0.52941,                0.26585,                0.10033,                 2.0057,                 6.4084,                 3.8087,                 4.1582,              0.0007822,              0.0007822,              0.0007822
                      3,                 1.1457,                 1.5315,                 1.8107,                 1.5365,                0.73947,                0.59336,                0.68379,                0.15087,                 0.2754,                0.85294,                0.33706,                0.08317,                 2.2759,                 8.5618,                 4.5773,                 3.4579,              0.0011797,              0.0011797,              0.0011797
                      4,                 1.1677,                 1.4806,                 1.7474,                 1.4671,                0.35281,                0.90448,                0.48118,                0.24193,                 0.3928,                0.95654,                0.62887,                0.26863,                 2.0395,                  5.676,                 5.1662,                 3.0061,              0.0015758,              0.0015758,              0.0015758
                      5,                 1.0913,                 1.4147,                 1.6331,                 1.4592,                0.47269,                0.73529,                0.67649,                0.18584,                 0.4868,                0.80479,                0.71445,                0.28409,                 2.0264,                 1.4405,                 5.1467,                 2.5042,               0.001656,               0.001656,               0.001656
                      6,                 1.0025,                 1.2204,                 1.4513,                 1.3462,                0.43491,                0.82353,                0.64278,                 0.1543,                0.71687,                0.75771,                0.83348,                0.37104,                 2.4925,                 1.3742,                 4.7928,                 3.4561,               0.001656,               0.001656,               0.001656
                      7,                 1.0801,                 1.3322,                 1.4436,                 1.3987,                 0.5392,                0.73529,                0.63533,                0.37852,                0.56317,                0.76471,                 0.6641,                0.46298,                  1.528,                 1.6233,                 8.0011,                 2.1054,              0.0016532,              0.0016532,              0.0016532
                      8,                  1.082,                 1.3606,                 1.5125,                 1.3788,                0.63045,                0.85294,                0.80378,                0.51162,                0.63045,                0.85294,                 0.8096,                0.58504,                 1.2626,                  1.057,                 3.7701,                 1.5933,              0.0016505,              0.0016505,              0.0016505
                      9,                 1.0217,                  1.294,                 1.3901,                 1.3521,                0.65023,                 0.8002,                0.84682,                0.52303,                0.65023,                 0.8002,                0.84822,                0.60299,                 1.4571,                  2.243,                 2.9558,                 2.1506,              0.0016477,              0.0016477,              0.0016477
                     10,                0.94679,                 1.3339,                 1.3399,                 1.3198,                0.64538,                0.81957,                 0.7257,                0.48596,                0.64538,                0.81957,                 0.7257,                0.55332,                 1.2878,                 1.9586,                 2.2618,                 1.5625,               0.001645,               0.001645,               0.001645
